TriNum is 101025 		divby: 18
TriNum is 101475 		divby: 36
TriNum is 101926 		divby: 16
TriNum is 102378 		divby: 16
TriNum is 102831 		divby: 8
TriNum is 103285 		divby: 16
TriNum is 103740 		divby: 96
TriNum is 104196 		divby: 24
TriNum is 104653 		divby: 4
TriNum is 105111 		divby: 16
TriNum is 105570 		divby: 64
TriNum is 106030 		divby: 16
TriNum is 106491 		divby: 16
TriNum is 106953 		divby: 16
TriNum is 107416 		divby: 16
TriNum is 107880 		divby: 64
TriNum is 108345 		divby: 16
TriNum is 108811 		divby: 4
TriNum is 109278 		divby: 24
TriNum is 109746 		divby: 48
TriNum is 110215 		divby: 16
TriNum is 110685 		divby: 16
TriNum is 111156 		divby: 24
TriNum is 111628 		divby: 24
TriNum is 112101 		divby: 16
TriNum is 112575 		divby: 24
TriNum is 113050 		divby: 48
TriNum is 113526 		divby: 48
TriNum is 114003 		divby: 12
TriNum is 114481 		divby: 4
TriNum is 114960 		divby: 40
TriNum is 115440 		divby: 80
TriNum is 115921 		divby: 8
TriNum is 116403 		divby: 16
TriNum is 116886 		divby: 48
TriNum is 117370 		divby: 24
TriNum is 117855 		divby: 24
TriNum is 118341 		divby: 12
TriNum is 118828 		divby: 12
TriNum is 119316 		divby: 24
TriNum is 119805 		divby: 24
TriNum is 120295 		divby: 12
TriNum is 120786 		divby: 16
TriNum is 121278 		divby: 32
TriNum is 121771 		divby: 16
TriNum is 122265 		divby: 48
TriNum is 122760 		divby: 96
TriNum is 123256 		divby: 32
TriNum is 123753 		divby: 16
TriNum is 124251 		divby: 8
TriNum is 124750 		divby: 16
TriNum is 125250 		divby: 32
TriNum is 125751 		divby: 8
TriNum is 126253 		divby: 4
TriNum is 126756 		divby: 36
TriNum is 127260 		divby: 72
TriNum is 127765 		divby: 16
TriNum is 128271 		divby: 24
TriNum is 128778 		divby: 24
TriNum is 129286 		divby: 8
TriNum is 129795 		divby: 16
TriNum is 130305 		divby: 32
TriNum is 130816 		divby: 36
TriNum is 131328 		divby: 72
TriNum is 131841 		divby: 16
TriNum is 132355 		divby: 8
TriNum is 132870 		divby: 32
TriNum is 133386 		divby: 32
TriNum is 133903 		divby: 16
TriNum is 134421 		divby: 16
TriNum is 134940 		divby: 48
TriNum is 135460 		divby: 24
TriNum is 135981 		divby: 12
TriNum is 136503 		divby: 12
TriNum is 137026 		divby: 8
TriNum is 137550 		divby: 48
TriNum is 138075 		divby: 24
TriNum is 138601 		divby: 8
TriNum is 139128 		divby: 64
TriNum is 139656 		divby: 48
TriNum is 140185 		divby: 12
TriNum is 140715 		divby: 24
TriNum is 141246 		divby: 48
TriNum is 141778 		divby: 32
TriNum is 142311 		divby: 16
TriNum is 142845 		divby: 16
TriNum is 143380 		divby: 24
TriNum is 143916 		divby: 24
TriNum is 144453 		divby: 8
TriNum is 144991 		divby: 12
TriNum is 145530 		divby: 96
TriNum is 146070 		divby: 32
TriNum is 146611 		divby: 4
TriNum is 147153 		divby: 8
TriNum is 147696 		divby: 40
TriNum is 148240 		divby: 40
TriNum is 148785 		divby: 32
TriNum is 149331 		divby: 16
TriNum is 149878 		divby: 8
TriNum is 150426 		divby: 24
TriNum is 150975 		divby: 36
TriNum is 151525 		divby: 24
TriNum is 152076 		divby: 48
TriNum is 152628 		divby: 48
TriNum is 153181 		divby: 8
TriNum is 153735 		divby: 16
TriNum is 154290 		divby: 32
TriNum is 154846 		divby: 8
TriNum is 155403 		divby: 12
TriNum is 155961 		divby: 24
TriNum is 156520 		divby: 64
TriNum is 157080 		divby: 128
TriNum is 157641 		divby: 16
TriNum is 158203 		divby: 4
TriNum is 158766 		divby: 16
TriNum is 159330 		divby: 32
TriNum is 159895 		divby: 8
TriNum is 160461 		divby: 20
